uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa29,North,Refugees,0.24,0.45,0.08,0.05,0.08,2,,,,,,,49.56,56.54,30.62,,0.2,,4,0.43,,4,0.13,,,,,,97.13,,,0.12,0.07,0.09,5,0.37,0.3,0.2,0.65,0.34,0.3,,,0.31,0.63,0.05,0,,,,,,0.79,0.38,0.14,64.19,0.37,,,0.24,0.09,,,,0.13,0.19,0.62,,,0.08,0.11,0.13,,,0.13,0.07,,,,2.96,1.05,7.06,1.55,0.32,0.73,0.3,0.33,0.19,0.2,1.04,0.71,0.47,1,0.9,,0.09,0.28,,0.21,,,,0.84,26.2,,,0,,,,,,128.05,385.97,0.33,0.44,49.66,,0,,0.2,0.28,0.61,,,,0.88,0.45,0.3,,,,0.87,0.31,0.09,0.95,73.61,,0.71,,0.58,0.06,0.04,0.99,0.35,0.3,0.19,,,0.74,0.29,,7221.56,74727.37,19.13,,,2.7,0.59,0.12,9.09,39.73,,,0.64,,0.04,0.16,,0,,0.01,0.01,0.44,1,0.89,,0.88,,1,0.03,0.08,1,0.02,,0.54,0.48,0.38,,,,0.13,0.17,0.27,,,,,1,0.08,0.26,0.16,0.12,,0.56
uoa30,South,IDPs,0.41,0.94,0.05,0.07,0.08,1,,0.26,,,,,89.87,28.36,21.28,0.17,,0.08,6,0.6,0,3,0.1,0,,,,,33.51,0.07,,0.07,0.05,0.1,5,0.34,0.33,0.19,0.6,0.38,0.3,,,0.36,0.73,0.08,0,,,,,,0.71,0.3,0.11,34.58,0.39,45.32,,,,,,,0.12,0.25,0.65,,,0.07,0.06,0.04,,,0.1,,,,,2.8,1.08,9.84,2.47,0.31,0.72,0.3,0.34,0.15,0.25,1.69,0.78,0.46,0.8,0.97,,0.09,0.1,,,,,,0.79,,,,1,,,,,,269.63,297.01,0.65,0.56,56.78,0.11,0,,,0.39,0.73,15.92,,,,0.53,,1,,,1.62,0.2,0.08,0.98,83.05,,,,0.47,0.04,,0.83,0.39,0.28,0.1,0.64,0.58,0.61,0.32,,3639.04,74435.11,19.92,,,3.05,0.72,,8.45,32.95,0.21,0.28,0.58,0.15,,0.1,0.08,1,,0.03,0.01,0.15,0.85,0.81,,,,1,0.03,0.09,,,0.06,0.58,0.51,0.4,,,,0.17,0.18,0.26,,,,0.13,,0.13,0.22,0.22,0.11,,7.52
uoa31,South,Refugees,0.47,0.98,0.26,0.14,0.06,2,0.14,0.22,,,,,120.2,24.27,29.46,,0.15,,3,0.5,,3,0.31,,,,,,33.73,,,0.42,0.41,0.36,1,0.08,0.1,0.04,0.26,0.08,0.13,,,,,0.05,0,,,,,,0.1,0.09,0.06,23.06,,38.82,,,,,,,0.76,0.33,0.66,,,0.14,0.12,0.05,,,0.13,,,,,13.97,4.81,9.28,9.14,0.13,,0.07,0.08,0.07,0.31,6.14,0.13,0.1,,,,0.12,0.18,,,,,,0.86,,,1,,,,,,,161.19,432.77,0.43,,28.57,,0,0.27,0.12,,0.09,11.23,,,0.66,0.5,,,,,5.47,1,,0.1,34.33,0.22,0.97,,,0.08,0.08,0.33,0.11,0.29,0.27,0.66,,0.73,0.11,0.53,6655.23,110906.86,15.32,,,1.36,0.61,0.15,9.13,39.07,,,0.61,,,0.15,,0,,0.02,0.01,0.25,0.91,0.89,1,0.75,,1,0.02,0.04,,0.01,,0.56,0.55,0.29,,,,0.06,0.16,0.11,,,,,,0.11,0.19,0.33,0.1,,2.3
uoa32,East,Hosts,0.59,1.15,0.22,0.18,0.07,2,,,,,,,93.88,66.19,28.62,,0.19,0.13,3,0.25,,3,0.3,1,,,,,96.41,,,0.53,0.42,0.44,2,0.13,0.11,0.07,0.15,0.1,0.06,,,,,0.13,0,,,,,,0.15,0.09,0.13,53.24,,32.5,0.11,,0.26,,,,0.67,0.14,0.67,,,0.05,0.11,0.11,,,,,0.12,,,14.89,5.23,9.22,,0.08,,,0.07,0.06,0.16,5.76,0.16,0.07,0.19,0.2,,0.24,0.17,0.19,,,,,0.71,,,,,,,,,,220.17,687.52,0.39,,66,0.1,0,0.34,0.15,,0.22,,0,,0.29,0.5,,0,,,5.79,1,0.03,0.16,11.33,,0.34,,,0.05,,0.24,0.09,0.18,0.12,0.68,0.79,,0.12,0.61,4450.6,88590.99,17.69,,,3.18,0.62,0.19,8.25,38.55,0.25,0.2,0.76,0.18,0.13,0.14,,0,,0.02,0.01,0.34,1,0.82,1,,0.97,1,0.05,0.09,1,,0.09,0.56,0.54,0.3,,,,0.11,0.13,0.33,,,,,,0.11,0.23,0.35,0.06,,3.19
uoa33,Centre,Hosts,0.36,1.28,0.25,0.17,0.1,2,0.14,0.29,,,,,83.29,27.58,28.39,0.24,0.14,,7,0.58,,4,0.24,,,,,,31.29,,,0.49,0.41,0.44,1,0.11,0.05,0.06,0.14,0.09,0.12,,,,,0.07,0,0.11,,,,,0.12,0.08,0.08,30.4,0.06,25.81,0.11,,,,,,0.56,0.35,0.6,,,0.11,0.12,0.1,,,,0.1,,,,12.05,4.55,9.04,,0.08,,,0.11,0.07,0.15,6.27,0.18,0.2,0.35,0.31,,0.22,0.17,,0.34,,,,0.94,,,,0,,,,,,179.71,237.36,0.68,,56.68,,0,0.24,,0.13,0.28,,,,0.96,0.58,,,,,6.57,1,0.02,0.32,15.09,,,,0.14,,,0.21,0.05,0.3,0.33,0.72,0.58,,0.13,,7233.55,98987.27,16.8,0.87,0.61,1.17,0.58,,7.83,36.41,0.19,,0.69,0.23,,0.08,,1,,0.03,0.01,0.15,1,0.71,1,0.72,,1,0.04,0.1,,0.02,0.07,0.57,0.42,0.39,,,,0.14,0.25,0.33,0.21,,0.15,,,0.07,0.25,0.2,0.07,,5.15
uoa34,West,IDPs,0.41,1.17,0.28,0.18,0.08,2,,0.21,,,,,45.26,47.88,19.57,,,,2,0.64,,6,0.3,0,,,,,75.97,,,0.42,0.41,0.49,2,0.09,0.06,0.06,0.23,0.08,,,,,,0.11,0,0.07,,,,,0.23,0.05,0.13,32.72,0.12,50.12,,,0.09,,,,0.6,0.29,0.72,,,0.13,0.08,0.09,,,,,,,,13.46,5.58,9.67,,0.04,,,0.13,0.05,0.32,6.88,0.11,,,0.34,,0.26,0.12,,,,,,0.71,14.72,,1,,,,,,,245.23,392.17,0.62,,44.33,,0,0.22,,,0.13,,,,,0.44,0.31,0,,,5.73,1,,0.14,25.28,0.59,,,,,,0.24,0.14,0.18,0.21,0.73,0.72,0.78,0.05,0.4,6588.85,165819.5,19.56,0.81,0.62,3.14,0.61,,9.9,36.05,,,0.59,,,0.17,0.04,0,0.13,0.02,0.01,0.16,0.88,0.91,0.91,,0.92,1,0.06,0.09,,,0.04,0.6,0.49,0.33,,,,0.11,0.22,0.27,,,0.13,,,0.12,0.14,0.33,0.07,0.18,5.49
uoa35,East,Refugees,0.48,1.32,0.29,0.17,0.06,2,,0.23,,,,,54.53,40.16,27.45,0.23,0.08,0.09,4,0.64,,4,0.17,,,,,,85.94,0.09,,0.47,0.43,0.35,2,0.07,0.06,0.02,0.15,0.08,0.09,,,,0.27,0.05,1,0.05,0.08,,,,0.2,0.12,0.04,54.17,,,0.06,,0.28,,,,0.76,0.22,0.67,,,0.12,0.09,0.07,,,0.09,0.08,0.14,,,14.12,5.94,8.8,,0.07,,,0.09,0.03,0.23,6.21,0.23,,,,,0.16,0.27,,,,,,0.7,,10.88,,,,,,,,120.75,381.16,0.39,0.2,39.06,,1,0.15,0.19,0.13,0.2,,,,0.52,0.48,0.15,,,,6.3,1,,0.27,14.65,0.43,0.98,,,,,0.13,0.1,0.31,0.1,0.67,,0.76,0.1,0.68,7167.91,144266.83,14.97,,,3.14,0.7,,9.5,34.92,,,0.76,,0.1,0.06,0.09,1,0.04,0.03,0.01,0.19,0.96,0.77,,,,1,0.03,0.07,1,0.01,0.05,0.47,0.58,0.4,,,,0.14,0.33,0.12,,,0.13,0.15,0,0.04,0.17,0.18,0.15,0.19,5.83
uoa36,Centre,Refugees,0.56,1.03,0.23,0.2,0.1,1,,,0.17,,,,60.71,45.07,32.99,,,,6,0.21,,3,0.24,1,,,,,76.3,,,0.46,0.41,0.46,1,0.12,0.11,0.06,0.08,0.09,0.13,,,,,0.04,0,,0.05,,,,0.27,0.11,0.08,57.74,0.07,28.98,,,0.24,,,,0.75,0.22,0.7,,,0.13,0.13,0.14,,,0.06,0.09,,,,14.2,5.06,8.36,7.91,0.08,0.1,0.1,0.04,0.05,0.33,5.98,0.08,0.13,,0.21,,0.25,0.27,0.31,,,,,0.86,,12.94,,,,,,,,305.56,434.98,0.54,,49.71,,1,,0.1,,0.1,31.33,,,,0.51,,0,,,5.21,1,,0.21,10.5,,0.96,,,,0.1,0.35,0.05,0.35,0.13,,,0.79,0.08,,5004.94,109318.66,16.4,,,1.25,0.62,0.25,8.83,36.62,0.24,,0.57,,,0.15,0.09,1,0.14,0.02,0.01,0.15,1,0.82,1,0.9,0.91,1,0.06,0.04,,,0.06,0.58,0.47,0.35,,,,0.17,0.17,0.29,,0.18,0.1,0.29,1,0.13,0.15,0.11,0.17,,1.42
uoa37,Centre,Hosts,0.27,0.81,0.22,0.16,0.1,3,0.13,0.1,,,,,59.06,38.43,19.89,0.15,,0.12,4,0.23,,5,0.22,,,,,,51.42,,0.72,0.45,0.39,0.46,2,0.06,0.13,0.05,0.1,0.11,,,,,0.11,0.05,1,,,,,,0.22,0.06,0.09,57.09,,30.84,,0.14,,,,,0.68,0.38,0.65,,,0.08,0.1,0.07,,,,,,,,10.82,5.02,7.56,,0.12,,0.14,0.06,0.06,0.3,6.87,0.16,0.16,,0.14,,0.25,0.24,,,,,,0.91,12.49,,0,,,,,,,168.39,570.69,0.43,0.13,35.5,,0,0.23,,,0.1,,,,,0.49,,1,,,6.1,1,,0.28,15.37,,0.68,,,,,0.17,0.12,0.33,0.17,,,,0.07,,4471.91,135094.45,19.92,0.75,,2.36,0.77,0.23,7.56,39.05,0.23,0.16,0.56,,0.12,0.12,,1,0.06,0.02,0.01,0.47,1,0.88,,,,1,0.03,0.08,,,0.09,0.49,0.46,0.3,,,,0.08,0.31,0.35,0.29,0.35,,,1,0.06,0.13,0.26,0.08,,7.17
uoa38,East,IDPs,0.39,0.42,0.46,0.04,0.1,2,,0.3,,,,,46.95,40.58,11.23,0.08,,,2,0.31,,6,0.14,0,,,,,35.52,,,0.54,0.44,0.49,2,0.06,0.11,0.04,0.13,0.13,,,,,,0.07,0,0.05,,,,,0.26,0.1,0.06,42.38,,54.05,,,0.22,,,,0.71,0.24,0.7,,,0.09,0.1,0.07,,,,,0.21,,,14.76,5.4,9.96,7.89,0.14,0.21,0.14,0.04,0.05,0.13,7,0.2,,,,,0.19,0.19,,,,,,0.79,,20.39,,,,,,,,266.22,536.88,0.41,,37.04,,0,0.19,0.1,,0.2,,,,0.05,0.46,,,,,5.7,1,,0.23,21.41,0.34,0.96,,0.1,0.05,,0.22,0.05,0.3,0.14,,,,0.14,0.12,4534.33,169572.48,15.39,,,2.29,0.79,,7.96,34.25,0.11,,0.77,,,0.12,,1,,0.01,0.01,0.48,0.95,0.99,0.98,,0.72,1,0.07,0.07,,,0.06,0.55,0.44,0.31,,,,0.15,0.29,0.34,0.27,0.11,,,1,0.04,0.27,0.35,0.17,,7.47
uoa39,Centre,Hosts,0.25,1.27,0.54,0.05,0.04,2,,,,,,,51.75,50.96,19.49,0.28,,,3,0.31,0,6,0.13,0,,,,,36.31,0.2,,0.48,0.39,0.44,1,0.11,0.1,0.06,0.28,0.07,0.13,,,,0.21,0.11,0,,0.13,,,,0.19,0.13,0.12,51.97,0.04,24.91,0.1,,,,,,0.59,0.27,0.79,,,0.08,0.07,0.09,,,0.13,0.05,,,,10.67,4.72,9.94,7.34,0.11,,,0.06,0.05,0.28,7,0.25,,0.29,,,0.28,0.14,,0.1,,,,0.85,,,0,,,,,,,333.29,239.71,0.44,0.08,46.45,,1,,0.08,,0.08,,,,0.63,0.47,0.22,,,,5.34,1,0.03,0.29,27.04,,0.92,,0.09,,0.1,0.33,0.11,0.27,0.33,,,,0.09,,4076.51,51382.19,18.84,0.95,0.78,2.33,0.68,0.09,7.29,35.41,0.22,0.19,0.56,,,0.06,0.06,0,,0.03,0.01,0.45,1,0.96,,,,1,0.04,0.07,,0.01,0.05,0.51,0.56,0.35,,,,0.14,0.32,0.2,0.13,,,,,0.13,0.24,0.21,0.13,,4.35
uoa40,West,Hosts,0.44,0.85,0.42,0.07,0.04,3,0.17,,,,,,114.65,51.49,27.04,0.12,,,7,0.61,,6,0.13,0,,,,,76.34,,0.08,0.49,0.4,0.35,1,0.09,0.12,0.07,0.08,0.05,0.06,,,,0.15,0.07,0,,0.04,,,,0.18,0.11,0.13,30.33,0.08,,,,0.25,,,,0.6,0.18,0.65,,,0.04,0.08,0.09,,,,,0.14,,,13.38,5.4,8.72,9.58,0.09,,,0.11,0.02,0.17,7,0.17,,,,,0.12,0.1,,,,,,0.98,24.02,,1,,,,,,,306.73,355.37,0.47,,32.01,0.13,1,0.26,,,0.2,17.97,1,,,0.52,,0,,,5.71,1,,0.12,17.6,0.08,,,,,0.06,0.16,0.05,0.14,0.17,0.64,0.68,0.58,0.12,,3252.39,132390.28,18.07,,,3.15,0.75,,7.02,31.77,0.21,,0.68,0.18,0.06,0.05,,0,0.07,0.03,0.01,0.2,0.96,0.72,1,,0.76,1,0.06,0.05,1,,,0.42,0.44,0.35,,,,0.11,0.32,0.23,0.16,0.15,0.09,,,0.12,0.1,0.15,0.1,,7.48
uoa41,Centre,Hosts,0.48,0.61,0.54,0.02,0.1,1,0.19,,,,,,139.66,27.26,22.83,0.16,,,7,0.34,,4,0.26,,,,,,75.49,,,0.48,0.36,0.5,2,0.08,0.12,0.06,0.18,0.12,0.07,,,,,0.07,0,,,,,,0.17,0.1,0.1,51.23,,,,,0.27,,,,0.73,0.24,0.7,,,0.09,0.08,0.09,,,,,,,,13.92,4.85,9.89,,0.07,0.29,0.13,0.08,0.02,0.33,6.99,0.24,0.16,0.22,0.34,,0.13,0.15,,,,,,0.89,,,,,,,,,,341.58,667.84,0.59,,53.64,,0,0.31,,,0.14,,,,,0.58,,,,,6.59,1,0.03,0.21,28.09,,0.82,,,,0.12,0.28,0.11,0.29,0.23,,,0.68,0.12,,7002.83,160460.24,19.06,,,2.69,0.68,0.11,9.76,37.02,0.09,0.13,0.63,,,0.07,0.04,1,,0.03,0.01,0.34,0.89,0.82,,,,1,0.06,0.06,,,,0.55,0.52,0.34,,,,0.05,0.32,0.29,,,0.08,,1,0.06,0.23,0.25,0.17,,5.05
uoa42,East,IDPs,0.2,0.6,0.56,0.06,0.09,2,0.08,,0.16,,,,58.61,55.48,33.07,,0.09,0.08,2,0.64,0,5,0.16,0,,,,,95.95,,,0.48,0.41,0.44,2,0.06,0.06,0.04,0.09,0.07,,,,0.05,,0.12,0,,,,,,0.22,0.08,0.13,63.21,0.1,,,0.14,0.09,,,,0.58,0.34,0.65,,,0.09,0.1,0.12,,,,0.06,,,,11.92,4.72,8.49,,0.09,0.3,,0.07,0.07,0.2,6.33,0.2,0.19,,0.21,,0.11,0.22,0.17,,,,,0.79,,13.68,0,1,,,,,,180.57,208.26,0.38,0.2,41.47,,0,,,0.09,0.22,,,,,0.58,,1,,,6.73,1,,0.21,11.98,,,,,,0.09,0.22,0.14,0.15,0.22,,,,0.1,0.29,4740.49,145053.23,14.05,0.87,0.75,1.36,0.6,0.18,9.03,30.45,,,0.62,,0.14,0.11,0.07,0,,0.01,0.01,0.36,0.94,0.94,1,,0.93,1,0.06,0.05,1,0.02,0.05,0.45,0.58,0.39,,,,0.11,0.23,0.2,,0.16,0.16,,,0.07,0.11,0.21,0.14,,4.92
uoa43,North,Refugees,0.58,0.54,0.23,0.14,0.25,8,0.49,0.65,0.45,,,,395.76,191.73,88.89,0.65,0.57,0.38,15,1.93,1,15,0.85,1,,,,,289,0.54,,0.46,0.48,0.44,2,0.12,0.1,0.06,0.1,0.07,,,,0.09,0.19,0.12,1,,,,,,0.12,0.11,0.09,23.15,0.13,,,,,,,,0.79,0.27,0.56,,,0.1,0.13,0.05,,,0.07,,,,,13.75,4.53,7.54,,0.08,,,0.11,0.04,0.14,6.44,0.19,,0.26,0.15,,0.1,0.26,0.23,0.13,,,,0.76,28.14,31.5,,,,,,,,191.32,375.2,0.35,0.09,39.53,0.09,0,0.21,0.16,,0.24,23.11,,,0.48,0.56,0.27,,,,5.11,1,,0.15,28.23,0.94,,,,0.08,,0.12,0.13,0.34,0.35,,,,0.06,0.7,7812.34,86094.62,16.16,0.89,0.63,2.66,0.74,0.09,9.53,30.8,0.21,0.24,0.63,,0.1,0.16,0.13,1,0.12,0.03,0.01,0.36,1,0.82,,,,1,0.05,0.08,1,0.01,0.09,0.44,0.46,0.36,,,,0.13,0.29,0.21,0.31,,0.08,0.32,0,0.11,0.11,0.13,0.09,0.29,0.49
uoa44,North,IDPs,0.26,0.95,0.27,0.15,0.22,8,0.46,0.81,0.52,,,,319.03,185.86,93.56,0.64,0.57,0.37,19,1.87,1,16,0.88,1,,,,,239,0.5,,0.51,0.37,0.38,2,0.1,0.13,0.05,0.12,0.05,0.09,,,,,0.09,0,0.07,,,,,0.27,0.05,0.08,44.46,,,,0.23,,,,,0.6,0.17,0.68,,,0.11,0.1,0.06,,,,0.07,,,,12.69,4.42,9.43,,0.13,0.32,,0.12,0.06,0.34,5.99,0.17,,0.29,,,0.11,0.17,0.27,,,,,0.96,,,1,1,,,,,,299.72,335.56,0.6,0.08,20.2,,1,,0.11,0.05,0.16,,,,0.97,0.46,0.17,0,,,6.79,1,0.01,0.22,25.84,0.08,,,,,,0.28,0.12,0.13,0.35,0.69,,,0.07,,6827.58,97172.21,18.56,0.97,,2.76,0.76,0.25,7.04,35.56,,0.2,0.63,,,0.07,,0,0.08,0.03,0.01,0.32,1,0.81,0.97,0.78,0.7,1,0.02,0.1,,,,0.59,0.44,0.31,,,,0.05,0.19,0.23,,,,0.32,,0.09,0.23,0.12,0.05,,4.89
uoa45,West,Refugees,0.48,1.3,0.25,0.18,0.26,8,0.59,0.88,0.56,,,,370.5,168.56,95.89,0.64,0.55,0.35,17,1.55,1,19,0.81,1,,,,,290.11,0.51,0.57,0.53,0.36,0.38,1,0.06,0.05,0.02,0.14,0.11,,,,0.1,0.2,0.12,0,0.11,0.06,,,,0.21,0.1,0.14,52.77,,,,0.12,,,,,0.71,0.4,0.76,,,0.05,0.07,0.1,,,,0.06,,,,11.79,4.27,9.11,,0.09,,,0.14,0.02,0.14,6.43,0.23,0.18,,,,0.11,0.19,,0.33,,,,0.75,14.11,,0,,,,,,,188.97,594.34,0.51,,57.02,,0,,0.13,,0.09,27.35,1,,,0.43,,0,,,4.97,1,,0.29,11.98,,0.13,,,,,0.19,0.1,0.15,0.32,0.65,0.71,,0.07,,3694.92,57590.54,16.23,,0.71,1.71,0.69,,9.7,36.07,0.26,,0.72,0.1,,0.14,0.13,1,,0.01,0.01,0.47,1,0.79,1,0.77,0.86,1,0.03,0.05,,,,0.59,0.47,0.37,,,,0.13,0.15,0.25,,0.25,0.11,,0,0.13,0.26,0.2,0.16,,7
uoa46,West,IDPs,0.33,0.89,0.29,0.17,0.3,7,0.44,0.8,0.43,,,,381.88,157.7,94.62,0.67,0.45,0.29,14,1.96,1,17,0.88,1,,,,,224.13,0.58,,0.48,0.48,0.36,1,0.11,0.13,0.06,0.13,0.06,,,,,0.16,0.08,1,,,,,,0.23,0.13,0.14,69.15,0.04,,0.12,,0.11,,,,0.61,0.33,0.58,,,0.1,0.11,0.13,,,,0.13,,,,14.65,5.51,8.72,8.27,0.04,,,0.11,0.03,0.21,7,0.26,,0.2,,,0.08,0.16,,,,,,0.85,14.8,,,0,,,,,,200.23,312.13,0.6,0.19,54.05,,1,,0.17,,0.18,32.67,,,,0.58,,,,,5.82,1,0.02,0.12,14.06,,,,0.1,0.09,,0.25,0.13,0.12,0.24,0.68,,,0.13,0.22,6232.45,96137.5,16.63,0.81,0.56,2.7,0.68,0.24,7.68,39.29,0.14,0.19,0.59,,0.04,0.15,,1,,0.03,0.01,0.41,1,0.81,,0.89,,1,0.03,0.04,,0.02,,0.55,0.49,0.38,,,,0.09,0.17,0.25,,0.29,0.12,,,0.05,0.08,0.27,0.11,,7.34
uoa47,West,Hosts,0.59,0.45,0.28,0.14,0.24,8,0.56,0.7,0.56,,,,290.57,192.91,77.2,0.78,0.43,0.29,19,1.61,1,19,0.77,1,,,,,287.56,0.54,0.65,0.46,0.38,0.43,2,0.05,0.07,0.07,0.12,0.14,,,,,,0.05,0,,,,,,0.11,0.12,0.12,58.88,,,,,0.13,,,,0.61,0.36,0.75,,,0.08,0.11,0.1,,,,,,,,13.56,4.69,7.23,,0.12,,,0.06,0.05,0.14,7,0.16,,0.21,,,0.11,0.12,0.2,,,,,0.94,,12.39,1,,,,,,,178.69,587.81,0.24,,45.45,0.09,0,,,,0.1,,,,,0.56,,,,,6.11,1,,0.22,25.66,0.32,,,,,0.04,0.26,0.11,0.18,0.25,,,,0.14,0.03,4761.2,54270.1,18.29,,0.7,2.25,0.63,,7.42,29.28,0.14,0.1,0.77,0.16,,0.14,,0,0.05,0.03,0.01,0.25,1,0.8,1,,,1,0.06,0.09,,0.01,,0.59,0.53,0.39,,,,0.17,0.22,0.17,,0.32,,0.28,,0.08,0.14,0.29,0.16,0.24,5.31
uoa48,Centre,IDPs,1.79,3.8,0.04,0.04,0.06,3,,,0.16,,,,49.18,36.31,34.82,0.11,0.11,0.07,5,0.56,0,6,0.22,,,,,,86.18,,0.32,0.51,0.48,0.41,2,0.09,0.06,0.05,0.26,0.05,0.14,,,,0.19,0.06,1,,,,,,0.18,0.1,0.13,59.66,,65.54,0.13,0.18,0.22,,,,0.78,0.24,0.77,,,0.08,0.04,0.04,,,,,,,,13.76,5.21,7.38,,0.13,,,0.06,0.07,0.19,6.44,0.12,,0.2,0.14,,0.12,0.18,,,,,,0.77,,,,,,,,,,272.2,331.79,0.67,,23.65,,0,,,,0.16,31.62,,,,0.43,0.34,,,,4.91,1,,0.31,16.03,0.44,,,0.15,,0.08,0.21,0.09,0.21,0.18,0.6,,,0.07,0.97,8550.6,83744.26,17.55,0.96,,1.36,0.64,0.28,8.8,36,,0.16,0.58,0.18,0.05,0.13,0.08,0,,0.02,0.01,0.34,1,0.96,1,,,1,0.03,0.05,1,,0.1,0.52,0.52,0.31,,,,0.14,0.14,0.2,0.16,0.21,,,0,0.1,0.27,0.24,0.14,0.26,2.15
uoa49,South,Hosts,1.52,3.38,0.07,0.07,0.03,1,,,,,,,50.04,44.06,18.02,0.14,,,5,0.6,,7,0.31,,,,,,58.81,,,0.44,0.38,0.4,3,0.07,0.04,0.03,0.23,0.09,0.05,,,0.1,,0.05,1,0.1,,,,,0.09,0.07,0.06,38.27,,,,,0.22,,,,0.72,0.32,0.61,,,0.07,0.1,0.09,,,0.07,,,,,12.37,4.67,9.22,7.23,0.06,0.34,,0.05,0.04,0.17,5.83,0.23,0.07,,0.18,,0.2,0.11,,,,,,0.99,11.79,26.14,,,,,,,,176.25,392.83,0.32,,24.5,,1,0.35,0.07,,0.27,23.99,1,,0.96,0.49,,1,,,5.83,1,0.03,0.12,21.07,0.08,,,0.08,0.09,0.08,0.22,0.13,0.29,0.13,,0.59,,0.09,,3594.47,142915.91,14.75,,,3.08,0.72,,9.87,35.82,0.21,,0.74,,,0.07,,1,,0.03,0.01,0.38,0.98,0.84,,,0.87,1,0.06,0.1,,0.01,0.08,0.51,0.53,0.32,,,,0.16,0.19,0.15,,0.19,0.16,0.24,,0.05,0.13,0.31,0.06,,1.1
uoa50,South,Refugees,1.79,2.95,0.03,0.03,0.05,2,0.14,0.1,0.09,,,,45.12,68.74,14.55,,0.17,0.08,5,0.56,,7,0.34,,,,,,70.93,,0.61,0.48,0.42,0.38,2,0.14,0.14,0.05,0.23,0.08,,,,0.12,0.12,0.09,0,,0.11,,,,0.11,0.04,0.08,28.45,,20.93,0.1,,,,,,0.77,0.33,0.59,,,0.07,0.04,0.12,,,,0.1,0.27,,,14.75,4.96,8.56,,0.13,0.28,0.05,0.05,0.06,0.28,7,0.15,0.07,,,,0.16,0.09,0.26,,,,,0.7,,,0,0,,,,,,189.34,610.58,0.51,0.16,30.27,,0,0.18,0.1,0.11,0.14,32.46,1,,,0.44,,0,,,5.08,1,0.02,0.3,29.59,,0.78,,,,0.07,0.17,0.04,0.23,0.23,,,,0.12,,3736.41,77786.75,14.9,,,1.75,0.62,,7.73,28.95,,,0.67,,,0.14,,0,,0.02,0.01,0.37,1,0.84,0.95,0.9,0.7,1,0.03,0.08,,,,0.49,0.57,0.28,,,,0.12,0.24,0.23,0.19,0.12,0.14,,0,0.05,0.23,0.24,0.06,0.17,6.1
